Frame,ID,PosX,PosY,PosZ
554,Car Axis,1.0,67.5,2.200000047683716
555,Low Poly Human 2,0.0,62.0,0.0
555,Car Axis,1.0,67.44564819335938,2.200000047683716
556,Low Poly Human 2,0.0,62.0,0.0
556,Car Axis,1.0,67.39130401611328,2.200000047683716
557,Low Poly Human 2,0.0,62.0,0.0
557,Car Axis,1.0,67.33695983886719,2.200000047683716
558,Low Poly Human 2,0.0,62.0,0.0
558,Car Axis,1.0,67.28260803222656,2.200000047683716
559,Low Poly Human 2,0.0,62.0,0.0
559,Car Axis,1.0,67.22826385498047,2.200000047683716
560,Low Poly Human 2,0.0,62.0,0.0
560,Car Axis,1.0,67.17391204833984,2.200000047683716
561,Low Poly Human 2,0.0,62.0,0.0
561,Car Axis,1.0,67.11956787109375,2.200000047683716
562,Low Poly Human 2,0.0,62.0,0.0
562,Car Axis,1.0,67.06521606445312,2.200000047683716
563,Low Poly Human 2,0.0,62.0,0.0
563,Car Axis,1.0,67.01087188720703,2.200000047683716
564,Low Poly Human 2,0.0,62.0,0.0
564,Car Axis,1.0,66.9565200805664,2.200000047683716
565,Low Poly Human 2,0.0,62.0,0.0
565,Car Axis,1.0,66.90217590332031,2.200000047683716
566,Low Poly Human 2,0.0,62.0,0.0
566,Car Axis,1.0,66.84782409667969,2.200000047683716
567,Low Poly Human 2,0.0,62.0,0.0
567,Car Axis,1.0,66.7934799194336,2.200000047683716
568,Low Poly Human 2,0.0,62.0,0.0
568,Car Axis,1.0,66.73912811279297,2.200000047683716
569,Low Poly Human 2,0.0,62.0,0.0
569,Car Axis,1.0,66.68478393554688,2.200000047683716
570,Low Poly Human 2,0.0,62.0,0.0
570,Car Axis,1.0,66.63043212890625,2.200000047683716
571,Low Poly Human 2,0.0,62.0,0.0
571,Car Axis,1.0,66.57608795166016,2.200000047683716
572,Low Poly Human 2,0.0,62.0,0.0
572,Car Axis,1.0,66.52173614501953,2.200000047683716
573,Low Poly Human 2,0.0,62.0,0.0
573,Car Axis,1.0,66.46739196777344,2.200000047683716
574,Low Poly Human 2,0.0,62.0,0.0
574,Car Axis,1.0,66.41304016113281,2.200000047683716
575,Low Poly Human 2,0.0,62.0,0.0
575,Car Axis,1.0,66.35869598388672,2.200000047683716
576,Low Poly Human 2,0.0,62.0,0.0
576,Car Axis,1.0,66.30435180664062,2.200000047683716
577,Low Poly Human 2,0.0,62.0,0.0
577,Car Axis,1.0,66.25,2.200000047683716
578,Low Poly Human 2,0.0,62.0,0.0
578,Car Axis,1.0,66.19564819335938,2.200000047683716
579,Low Poly Human 2,0.0,62.0,0.0
579,Car Axis,1.0,66.14130401611328,2.200000047683716
580,Low Poly Human 2,0.0,62.0,0.0
580,Car Axis,1.0,66.08695983886719,2.200000047683716
581,Low Poly Human 2,0.0,62.0,0.0
581,Car Axis,1.0,66.03260803222656,2.200000047683716
